"","linReg","pls","enet","MARS","svm","gbm","cubist","keras"
"1",29.3622025728928,29.5897775240827,29.3622025728939,26.8736430047397,26.0141759131534,27.4617813548985,28.3777828216553,33.1797294616699
"2",30.0999240797331,30.3545528526593,30.099924079735,23.8544989710402,33.136977762221,26.8541788307694,26.6756439208984,22.0590667724609
"3",39.0196614241547,39.2939108283786,39.0196614241572,39.3687076775472,34.9945927840668,43.2771280506134,41.9440689086914,43.620792388916
"4",28.5119908937721,28.6394747250823,28.5119908937742,24.3576896433234,23.1204764266999,27.6239386300738,29.0766105651855,22.86159324646
"5",46.5124753343729,46.7499266110169,46.5124753343757,40.7398250742656,47.7806169173351,43.889009893973,53.7390480041504,56.3059349060059
"6",41.1253466856036,41.3736450180923,41.1253466856054,40.0275351211123,39.3221417341847,44.1314408143124,41.5831489562988,22.7222576141357
"7",25.7094105506393,25.8759249605084,25.7094105506401,26.622047668598,28.6157032280056,26.5270482542491,24.0714855194092,40.0035591125488
"8",47.1552813720901,47.5102963449285,47.1552813720941,43.2572939263459,58.8390722620769,47.7716475544502,65.8604202270508,40.0873718261719
"9",32.4322585698547,32.735341741126,32.4322585698556,25.6156663240315,21.0820178904127,28.176040430824,26.9602928161621,28.398401260376
"10",25.5347846094598,25.8642817844811,25.5347846094605,23.0377371549842,22.948478965792,28.5324677149105,22.0347518920898,27.7019062042236
"11",47.4676282801439,47.708694512489,47.4676282801433,42.496401091219,45.7036009909573,38.9359967145223,44.6718711853027,41.0027885437012
"12",39.4184565349432,39.5854553240934,39.4184565349425,24.8608803156067,30.9510853835578,31.0194176086428,39.1448440551758,25.6681652069092
"13",33.1871623291228,33.4569641150243,33.1871623291232,25.8672616601732,35.4449076151408,29.826224706907,35.9297904968262,33.7861518859863
"14",36.1048674911961,36.3071865980108,36.1048674911989,24.1060943071818,32.7919773679984,36.5525663210814,36.3586387634277,21.7352733612061
"15",40.426331483227,40.6154151017263,40.4263314832295,45.7747627784262,44.6895254759245,39.0721230391713,43.9778747558594,43.5685844421387
"16",73.4402045890224,72.1345804260597,73.4402045889901,56.9163629193179,64.3668362962157,56.6385366809405,89.1014938354492,78.6169052124023
"17",43.4640934750312,43.5942828899566,43.4640934750326,48.2922316305065,46.0536067954042,40.3515455797965,53.2112846374512,40.1778182983398
"18",70.5048436841077,70.5219812922068,70.5048436841096,85.7481036271448,49.9973450507555,86.4319108566901,55.5091018676758,45.3662300109863
"19",55.0916506026506,55.2105750918471,55.0916506026512,51.6883501667769,43.3081120548992,52.9386255002788,57.5004806518555,26.6248035430908
"20",57.3811738385436,57.5516286145397,57.3811738385455,55.3544200985039,46.8648713844505,57.7774183100488,57.3355827331543,49.6511154174805
"21",25.0021415372608,24.5904401346077,25.0021415372611,23.1302607095611,23.35446470508,28.0925998052247,18.9352855682373,31.869234085083
"22",32.6433590062688,33.189454482713,32.6433590062685,27.943143029032,16.8598234914998,39.9418670619099,47.8621253967285,24.8647289276123
"23",29.633190858382,29.8591330200504,29.6331908583825,26.9910507599215,26.2796767585623,32.9621037664904,26.1652450561523,33.9076385498047
"24",34.1698804645994,34.4239533711543,34.1698804645997,30.742631362056,28.5761949240462,34.063885863172,27.1665821075439,35.8128852844238
"25",32.0576359384722,31.9277104348416,32.0576359384717,29.0875381145246,34.6450097545465,34.423639869813,27.7406101226807,31.9711074829102
"26",43.30185675009,43.3411194845078,43.3018567500915,48.5438269666481,43.426822806439,40.5609408613409,42.2286415100098,53.7331962585449
"27",31.614234594445,31.8617293197774,31.6142345944454,25.1124756517483,29.1757305115176,27.273607859849,25.2766819000244,43.925464630127
"28",31.7739320724988,31.8776998858349,31.7739320724988,26.3704523324564,31.2121149783487,28.2486005250874,30.4352722167969,21.33229637146
